time obs-obs-1-1-t2m obs-obs-1-1-ws_10min obs-obs-1-1-wg_10min obs-obs-1-1-wd_10min obs-obs-1-1-rh obs-obs-1-1-td obs-obs-1-1-r_1h obs-obs-1-1-ri_10min obs-obs-1-1-snow_aws obs-obs-1-1-p_sea obs-obs-1-1-vis obs-obs-1-1-n_man obs-obs-1-1-wawa
2018-07-01T06:10:00Z  14.8 5.6 8.8 32.0 51.0 4.7 NaN 0.0 -1.0 1028.0 50000.0 0.0 0.0
2018-07-01T06:20:00Z  15.1 4.1 6.7 19.0 51.0 5.0 NaN 0.0 -1.0 1028.0 50000.0 0.0 0.0
2018-07-01T06:30:00Z  15.2 4.6 7.0 4.0 49.0 4.6 NaN 0.0 -1.0 1027.9 50000.0 0.0 0.0
2018-07-01T06:40:00Z  15.1 5.1 7.5 4.0 49.0 4.4 NaN 0.0 -1.0 1027.9 50000.0 0.0 0.0
2018-07-01T06:50:00Z  15.6 4.5 6.2 19.0 48.0 4.5 NaN 0.0 -1.0 1028.0 50000.0 0.0 0.0
2018-07-01T07:00:00Z  15.8 4.4 6.6 29.0 49.0 5.0 0.0 0.0 -1.0 1028.0 50000.0 0.0 0.0
2018-07-01T07:10:00Z  15.7 5.8 7.7 2.0 47.0 4.3 NaN 0.0 -1.0 1028.1 49863.0 0.0 0.0
2018-07-01T07:20:00Z  16.2 5.2 7.7 21.0 47.0 4.7 NaN 0.0 -1.0 1028.1 50000.0 0.0 0.0
2018-07-01T07:30:00Z  16.2 5.2 7.5 25.0 44.0 4.0 NaN 0.0 -1.0 1028.1 50000.0 0.0 0.0
2018-07-01T07:40:00Z  16.4 4.5 7.8 17.0 46.0 4.7 NaN 0.0 -1.0 1028.2 50000.0 0.0 0.0
2018-07-01T07:50:00Z  16.2 5.4 8.2 27.0 44.0 4.0 NaN 0.0 -1.0 1028.1 50000.0 0.0 0.0
2018-07-01T08:00:00Z  16.7 4.3 6.8 20.0 43.0 3.9 0.0 0.0 -1.0 1028.0 48009.0 0.0 0.0
2018-07-01T08:10:00Z  16.8 5.6 8.6 359.0 44.0 4.5 NaN 0.0 -1.0 1028.1 49659.0 0.0 0.0
2018-07-01T08:20:00Z  16.6 5.7 8.8 12.0 44.0 4.3 NaN 0.0 -1.0 1028.0 44362.0 0.0 0.0
2018-07-01T08:30:00Z  17.0 4.9 8.6 19.0 40.0 3.3 NaN 0.0 -1.0 1028.0 50000.0 0.0 0.0
2018-07-01T08:40:00Z  17.2 5.4 9.3 24.0 41.0 3.6 NaN 0.0 -1.0 1028.0 49436.0 0.0 0.0
2018-07-01T08:50:00Z  17.3 5.5 8.3 24.0 41.0 4.0 NaN 0.0 -1.0 1027.9 50000.0 0.0 0.0
2018-07-01T09:00:00Z  17.1 6.1 10.5 359.0 40.0 3.5 0.0 0.0 -1.0 1027.8 49767.0 0.0 0.0
2018-07-01T09:10:00Z  17.3 6.6 9.7 8.0 39.0 3.4 NaN 0.0 -1.0 1027.7 42861.0 0.0 0.0
2018-07-01T09:20:00Z  17.1 6.9 9.9 359.0 40.0 3.3 NaN 0.0 -1.0 1027.6 47858.0 0.0 0.0
2018-07-01T09:30:00Z  17.4 6.0 9.9 29.0 38.0 3.0 NaN 0.0 -1.0 1027.6 44225.0 0.0 0.0
2018-07-01T09:40:00Z  17.6 7.3 9.8 29.0 39.0 3.5 NaN 0.0 -1.0 1027.5 44522.0 0.0 0.0
2018-07-01T09:50:00Z  17.7 6.7 10.9 21.0 38.0 3.1 NaN 0.0 -1.0 1027.4 50000.0 0.0 0.0
2018-07-01T10:00:00Z  17.5 7.1 10.2 22.0 37.0 2.7 0.0 0.0 -1.0 1027.3 44862.0 0.0 0.0
2018-07-01T10:10:00Z  17.9 7.2 10.7 29.0 38.0 3.6 NaN 0.0 -1.0 1027.3 50000.0 0.0 0.0
2018-07-01T10:20:00Z  17.7 6.4 11.2 24.0 37.0 3.0 NaN 0.0 -1.0 1027.1 47322.0 0.0 0.0
2018-07-01T10:30:00Z  18.1 6.3 10.4 27.0 36.0 2.7 NaN 0.0 -1.0 1027.1 38953.0 0.0 0.0
2018-07-01T10:40:00Z  17.7 6.6 9.9 14.0 38.0 3.2 NaN 0.0 -1.0 1027.0 45246.0 0.0 0.0
2018-07-01T10:50:00Z  17.5 6.5 10.6 5.0 38.0 2.9 NaN 0.0 -1.0 1027.0 39389.0 0.0 0.0
2018-07-01T11:00:00Z  17.8 6.6 10.2 5.0 37.0 2.9 0.0 0.0 -1.0 1026.9 40525.0 0.0 0.0
2018-07-01T11:10:00Z  17.6 7.2 11.4 9.0 37.0 2.6 NaN 0.0 -1.0 1026.9 37273.0 0.0 0.0
2018-07-01T11:20:00Z  17.6 7.5 11.2 8.0 39.0 3.4 NaN 0.0 -1.0 1026.7 43381.0 0.0 0.0
2018-07-01T11:30:00Z  17.7 8.3 10.8 3.0 38.0 3.4 NaN 0.0 -1.0 1026.7 49077.0 0.0 0.0
2018-07-01T11:40:00Z  18.0 7.1 11.0 359.0 37.0 3.2 NaN 0.0 -1.0 1026.5 43906.0 0.0 0.0
2018-07-01T11:50:00Z  17.7 6.8 11.0 4.0 38.0 3.1 NaN 0.0 -1.0 1026.5 49425.0 0.0 0.0
2018-07-01T12:00:00Z  17.7 7.5 11.0 7.0 35.0 2.1 0.0 0.0 -1.0 1026.5 48879.0 0.0 0.0
2018-07-01T12:10:00Z  17.8 7.3 12.1 16.0 37.0 3.0 NaN 0.0 -1.0 1026.5 50000.0 0.0 0.0
2018-07-01T12:20:00Z  18.1 6.9 11.2 9.0 36.0 2.8 NaN 0.0 -1.0 1026.5 46334.0 0.0 0.0
2018-07-01T12:30:00Z  17.6 7.1 10.7 6.0 36.0 2.4 NaN 0.0 -1.0 1026.4 42745.0 0.0 0.0
