Timestamp; Irradiance; Heatflux
2014-10-02 09:30:20;  55.9;   0.0
2014-10-02 09:45:20;  40.3;   0.0
2014-10-02 10:00:20;  34.3;   0.0
2014-10-02 10:15:20;  31.5;   0.0
2014-10-02 10:30:20;  34.1;   0.0
2014-10-02 10:45:20;  27.9;   0.0
2014-10-02 11:00:20;  24.3;   0.0
2014-10-02 11:15:20;  29.2;  -0.0
2014-10-02 11:30:20;  30.0;  -0.0
2014-10-02 11:45:20;  68.3;  -0.0
2014-10-02 12:00:20;  89.2;  -0.0
2014-10-02 12:15:20; 130.9;  -0.0
2014-10-02 12:30:20;  70.3;  -0.0
2014-10-02 12:45:20;  83.5;  -0.0
2014-10-02 13:00:20;  67.0;  -0.0
2014-10-02 13:15:20; 188.4;  -0.0
2014-10-02 13:30:20; 126.3;  -0.0
2014-10-02 13:45:20;  70.7;  -0.0
2014-10-02 14:00:20; 140.0;  -0.0
2014-10-02 14:15:20; 379.3;  -0.0
2014-10-02 14:30:20; 217.3;  -0.1
2014-10-02 14:45:20; 335.1;  -0.1
2014-10-02 15:00:20; 304.1;  -0.1
2014-10-02 15:15:20; 287.3;  -0.1
2014-10-02 15:30:20; 257.3;  -0.1
2014-10-02 15:45:20; 235.0;  -0.1
2014-10-02 16:00:20; 212.8;  -0.1
2014-10-02 16:15:20; 180.7;  -0.1
2014-10-02 16:30:20; 152.6;  -0.1
2014-10-02 16:45:20; 144.4;  -0.1
2014-10-02 17:00:20;  97.4;  -0.1
2014-10-02 17:15:20;  68.5;  -0.1
2014-10-02 17:30:20;  41.6;  -0.1
2014-10-02 17:45:20;  15.7;  -0.1
2014-10-02 18:00:20;   2.7;  -0.1
2014-10-02 18:15:20;   0.1;  -0.1
2014-10-02 18:30:20;  -0.3;  -0.1
2014-10-02 18:45:20;  -0.3;  -0.1
2014-10-02 19:00:20;  -0.1;  -0.1
2014-10-02 19:15:20;  -0.1;  -0.1
2014-10-02 19:30:20;  -0.0;  -0.1
2014-10-02 19:45:20;  -0.0;  -0.1
2014-10-02 20:00:20;   0.0;  -0.1
2014-10-02 20:15:20;   0.0;  -0.1
2014-10-02 20:30:20;   0.1;  -0.1
2014-10-02 20:45:20;   0.1;  -0.1
2014-10-02 21:00:20;   0.1;  -0.1
2014-10-02 21:15:20;   0.2;  -0.1
2014-10-02 21:30:20;   0.2;  -0.1
2014-10-02 21:45:20;   0.2;  -0.1
2014-10-02 22:00:20;   0.2;  -0.1
2014-10-02 22:15:20;   0.2;  -0.1
2014-10-02 22:30:20;   0.2;  -0.1
2014-10-02 22:45:20;   0.2;  -0.1
2014-10-02 23:00:20;   0.2;  -0.1
2014-10-02 23:15:20;   0.2;  -0.1
2014-10-02 23:30:20;   0.2;  -0.1
2014-10-02 23:45:20;   0.2;  -0.1
2014-10-03 00:00:20;   0.2;  -0.1
2014-10-03 00:15:20;   0.2;  -0.1
2014-10-03 00:30:20;   0.2;  -0.1
2014-10-03 00:45:20;   0.2;  -0.1
2014-10-03 01:00:20;   0.2;  -0.1
2014-10-03 01:15:20;   0.2;  -0.1
2014-10-03 01:30:20;   0.3;  -0.1
2014-10-03 01:45:20;   0.3;  -0.1
2014-10-03 02:00:20;   0.3;  -0.1
2014-10-03 02:15:20;   0.3;  -0.1
2014-10-03 02:30:20;   0.3;  -0.1
2014-10-03 02:45:20;   0.3;  -0.1
2014-10-03 03:00:20;   0.3;  -0.0
2014-10-03 03:15:20;   0.3;  -0.0
2014-10-03 03:30:20;   0.3;  -0.0
2014-10-03 03:45:20;   0.2;  -0.0
2014-10-03 04:00:20;   0.2;  -0.0
2014-10-03 04:15:20;   0.1;  -0.0
2014-10-03 04:30:20;   0.0;  -0.0
2014-10-03 04:45:20;  -0.0;  -0.0
2014-10-03 05:00:20;   0.1;  -0.0
2014-10-03 05:15:20;   0.2;  -0.0
2014-10-03 05:30:20;   0.3;  -0.0
2014-10-03 05:45:20;   0.1;  -0.0
2014-10-03 06:00:20;   0.0;  -0.0
2014-10-03 06:15:20;   0.1;  -0.0
2014-10-03 06:30:20;   0.3;  -0.0
2014-10-03 06:45:20;   1.8;  -0.0
2014-10-03 07:00:20;   3.5;  -0.0
2014-10-03 07:15:20;   9.0;  -0.0
2014-10-03 07:30:20;  14.7;  -0.0
2014-10-03 07:45:20;  24.3;  -0.0
2014-10-03 08:00:20;  32.2;  -0.0
2014-10-03 08:15:20;  33.9;  -0.0
2014-10-03 08:30:20;  41.2;  -0.0
2014-10-03 08:45:20;  59.4;  -0.0
2014-10-03 09:00:20;  57.1;  -0.0
2014-10-03 09:15:20;  69.9;  -0.0
2014-10-03 09:30:20; 100.3;   0.0
2014-10-03 09:45:20;  98.5;   0.0
2014-10-03 10:00:20; 101.7;   0.0
2014-10-03 10:15:20; 147.7;   0.0
2014-10-03 10:30:20; 121.2;   0.0
2014-10-03 10:45:20; 152.0;   0.0
2014-10-03 11:00:20; 125.2;   0.0
2014-10-03 11:15:20; 127.4;   0.0
2014-10-03 11:30:20; 153.4;   0.0
2014-10-03 11:45:20; 141.3;   0.0
2014-10-03 12:00:20; 162.5;   0.0
2014-10-03 12:15:20; 170.3;   0.0
2014-10-03 12:30:20; 154.0;   0.0
2014-10-03 12:45:20; 208.5;   0.0
2014-10-03 13:00:20; 141.1;   0.0
2014-10-03 13:15:20; 131.3;   0.0
2014-10-03 13:30:20; 124.8;   0.0
2014-10-03 13:45:20; 162.1;   0.0
2014-10-03 14:00:20; 310.7;   0.0
2014-10-03 14:15:20; 267.0;   0.0
2014-10-03 14:30:20; 228.4;   0.0
2014-10-03 14:45:20; 150.2;   0.0
2014-10-03 15:00:20; 103.8;   0.0
2014-10-03 15:15:20;  45.7;   0.0
2014-10-03 15:30:20;  30.7;   0.0
2014-10-03 15:45:20;  23.8;   0.0
2014-10-03 16:00:20;  14.1;   0.0
2014-10-03 16:15:20;  14.1;   0.0
2014-10-03 16:30:20;  24.4;   0.0
2014-10-03 16:45:20;   7.0;   0.0
2014-10-03 17:00:20;   8.3;   0.0
2014-10-03 17:15:20;   5.3;   0.0
2014-10-03 17:30:20;   7.3;   0.0
2014-10-03 17:45:20;   3.4;   0.0
2014-10-03 18:00:20;   1.2;   0.0
2014-10-03 18:15:20;   0.3;   0.0
2014-10-03 18:30:20;  -0.1;   0.0
2014-10-03 18:45:20;  -0.1;   0.0
2014-10-03 19:00:20;  -0.1;   0.0
2014-10-03 19:15:20;  -0.0;   0.0
2014-10-03 19:30:20;   0.0;   0.0
2014-10-03 19:45:20;   0.1;   0.0
2014-10-03 20:00:20;   0.1;   0.0
2014-10-03 20:15:20;   0.1;   0.0
2014-10-03 20:30:20;   0.1;   0.0
2014-10-03 20:45:20;   0.1;   0.0
2014-10-03 21:00:20;   0.1;   0.0
2014-10-03 21:15:20;   0.1;   0.0
2014-10-03 21:30:20;   0.1;   0.0
2014-10-03 21:45:20;   0.1;   0.0
2014-10-03 22:00:20;   0.1;   0.0
2014-10-03 22:15:20;   0.0;   0.0
2014-10-03 22:30:20;   0.0;   0.0
2014-10-03 22:45:20;   0.0;   0.0
2014-10-03 23:00:20;  -0.0;   0.0
2014-10-03 23:15:20;  -0.0;   0.0
2014-10-03 23:30:20;  -0.1;   0.0
2014-10-03 23:45:20;  -0.1;   0.0
2014-10-04 00:00:20;  -0.1;   0.0
2014-10-04 00:15:20;  -0.1;   0.0
