# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
Agc,1725970912999,7505000000,,,-1410006123494723485,0.0,8.420880896506787,,,9,27.962825775146484,1176450000,5
Agc,1725970913999,8505000000,,,-1410006123494723598,0.0,7.382991991049325,,,9,36.29946517944336,1575420000,1
Agc,1725970913999,8505000000,,,-1410006123494723598,0.0,7.382991991049325,,,9,26.864200592041016,1176450000,1
Agc,1725970913999,8505000000,,,-1410006123494723598,0.0,7.382991991049325,,,9,60.49237823486328,1602000000,3
Agc,1725970913999,8505000000,,,-1410006123494723598,0.0,7.382991991049325,,,9,36.29946517944336,1575420000,6
Agc,1725970913999,8505000000,,,-1410006123494723598,0.0,7.382991991049325,,,9,26.864200592041016,1176450000,6
Agc,1725970913999,8505000000,,,-1410006123494723598,0.0,7.382991991049325,,,9,60.381736755371094,1561096000,5
Agc,1725970913999,8505000000,,,-1410006123494723598,0.0,7.382991991049325,,,9,36.29946517944336,1575420000,5
Agc,1725970913999,8505000000,,,-1410006123494723598,0.0,7.382991991049325,,,9,26.864200592041016,1176450000,5
Agc,1725970914999,9505000000,,,-1410006123494723711,0.0,6.700309579293042,,,9,38.210899353027344,1575420000,1
Agc,1725970914999,9505000000,,,-1410006123494723711,0.0,6.700309579293042,,,9,29.240116119384766,1176450000,1
Agc,1725970914999,9505000000,,,-1410006123494723711,0.0,6.700309579293042,,,9,57.503597259521484,1602000000,3
Agc,1725970914999,9505000000,,,-1410006123494723711,0.0,6.700309579293042,,,9,38.210899353027344,1575420000,6
Agc,1725970914999,9505000000,,,-1410006123494723711,0.0,6.700309579293042,,,9,29.240116119384766,1176450000,6
Agc,1725970914999,9505000000,,,-1410006123494723711,0.0,6.700309579293042,,,9,60.70954132080078,1561096000,5
Agc,1725970914999,9505000000,,,-1410006123494723711,0.0,6.700309579293042,,,9,38.210899353027344,1575420000,5
Agc,1725970914999,9505000000,,,-1410006123494723711,0.0,6.700309579293042,,,9,29.240116119384766,1176450000,5
Agc,1725970915999,10505000000,,,-1410006123494723823,0.0,6.154062013260423,,,9,39.595672607421875,1575420000,1
Agc,1725970915999,10505000000,,,-1410006123494723823,0.0,6.154062013260423,,,9,28.544872283935547,1176450000,1
Agc,1725970915999,10505000000,,,-1410006123494723823,0.0,6.154062013260423,,,9,60.381736755371094,1602000000,3
Agc,1725970915999,10505000000,,,-1410006123494723823,0.0,6.154062013260423,,,9,39.595672607421875,1575420000,6
Agc,1725970915999,10505000000,,,-1410006123494723823,0.0,6.154062013260423,,,9,28.544872283935547,1176450000,6
Agc,1725970915999,10505000000,,,-1410006123494723823,0.0,6.154062013260423,,,9,63.52419662475586,1561096000,5
Agc,1725970915999,10505000000,,,-1410006123494723823,0.0,6.154062013260423,,,9,39.595672607421875,1575420000,5
Agc,1725970915999,10505000000,,,-1410006123494723823,0.0,6.154062013260423,,,9,28.544872283935547,1176450000,5
Agc,1725970916999,11505000000,,,-1410006123494723935,0.0,5.631738818651155,,,9,41.02555847167969,1575420000,1
Agc,1725970916999,11505000000,,,-1410006123494723935,0.0,5.631738818651155,,,9,25.704256057739258,1176450000,1
Agc,1725970916999,11505000000,,,-1410006123494723935,0.0,5.631738818651155,,,9,59.924476623535156,1602000000,3
Agc,1725970916999,11505000000,,,-1410006123494723935,0.0,5.631738818651155,,,9,41.02555847167969,1575420000,6
Agc,1725970916999,11505000000,,,-1410006123494723935,0.0,5.631738818651155,,,9,25.704256057739258,1176450000,6
Agc,1725970916999,11505000000,,,-1410006123494723935,0.0,5.631738818651155,,,9,61.12821960449219,1561096000,5
Agc,1725970916999,11505000000,,,-1410006123494723935,0.0,5.631738818651155,,,9,41.02555847167969,1575420000,5
Agc,1725970916999,11505000000,,,-1410006123494723935,0.0,5.631738818651155,,,9,25.704256057739258,1176450000,5
Agc,1725970917999,12505000000,,,-1410006123494724047,0.0,5.104863050687737,,,9,41.979400634765625,1575420000,1
Agc,1725970917999,12505000000,,,-1410006123494724047,0.0,5.104863050687737,,,9,28.13314437866211,1176450000,1
Agc,1725970917999,12505000000,,,-1410006123494724047,0.0,5.104863050687737,,,9,61.12821960449219,1602000000,3
Agc,1725970917999,12505000000,,,-1410006123494724047,0.0,5.104863050687737,,,9,41.979400634765625,1575420000,6
Agc,1725970917999,12505000000,,,-1410006123494724047,0.0,5.104863050687737,,,9,28.13314437866211,1176450000,6
Agc,1725970917999,12505000000,,,-1410006123494724047,0.0,5.104863050687737,,,9,63.20831298828125,1561096000,5
Agc,1725970917999,12505000000,,,-1410006123494724047,0.0,5.104863050687737,,,9,41.979400634765625,1575420000,5
Agc,1725970917999,12505000000,,,-1410006123494724047,0.0,5.104863050687737,,,9,28.13314437866211,1176450000,5
Agc,1725970918999,13505000000,,,-1410006123494724160,0.0,4.722594015512458,,,9,40.127628326416016,1575420000,1
Agc,1725970918999,13505000000,,,-1410006123494724160,0.0,4.722594015512458,,,9,28.30018424987793,1176450000,1
Agc,1725970918999,13505000000,,,-1410006123494724160,0.0,4.722594015512458,,,9,58.31734085083008,1602000000,3
Agc,1725970918999,13505000000,,,-1410006123494724160,0.0,4.722594015512458,,,9,40.127628326416016,1575420000,6
Agc,1725970918999,13505000000,,,-1410006123494724160,0.0,4.722594015512458,,,9,28.30018424987793,1176450000,6
Agc,1725970918999,13505000000,,,-1410006123494724160,0.0,4.722594015512458,,,9,63.367698669433594,1561096000,5
Agc,1725970918999,13505000000,,,-1410006123494724160,0.0,4.722594015512458,,,9,40.127628326416016,1575420000,5
Agc,1725970918999,13505000000,,,-1410006123494724160,0.0,4.722594015512458,,,9,28.30018424987793,1176450000,5
Agc,1725970919999,14505000000,,,-1410006123494724272,0.0,4.506467067105075,,,9,37.657474517822266,1575420000,1
Agc,1725970919999,14505000000,,,-1410006123494724272,0.0,4.506467067105075,,,9,25.860759735107422,1176450000,1
Agc,1725970919999,14505000000,,,-1410006123494724272,0.0,4.506467067105075,,,9,58.45743942260742,1602000000,3
Agc,1725970919999,14505000000,,,-1410006123494724272,0.0,4.506467067105075,,,9,37.657474517822266,1575420000,6
Agc,1725970919999,14505000000,,,-1410006123494724272,0.0,4.506467067105075,,,9,25.860759735107422,1176450000,6
Agc,1725970919999,14505000000,,,-1410006123494724272,0.0,4.506467067105075,,,9,60.381736755371094,1561096000,5
Agc,1725970919999,14505000000,,,-1410006123494724272,0.0,4.506467067105075,,,9,37.657474517822266,1575420000,5
Agc,1725970919999,14505000000,,,-1410006123494724272,0.0,4.506467067105075,,,9,25.860759735107422,1176450000,5
Agc,1725970920999,15505000000,,,-1410006123494724385,0.0,4.373018890825298,-110.0,1.0,9,37.42583465576172,1575420000,1
Agc,1725970920999,15505000000,,,-1410006123494724385,0.0,4.373018890825298,-110.0,1.0,9,25.30018424987793,1176450000,1
Agc,1725970920999,15505000000,,,-1410006123494724385,0.0,4.373018890825298,-110.0,1.0,9,60.381736755371094,1602000000,3
Agc,1725970920999,15505000000,,,-1410006123494724385,0.0,4.373018890825298,-110.0,1.0,9,37.42583465576172,1575420000,6
Agc,1725970920999,15505000000,,,-1410006123494724385,0.0,4.373018890825298,-110.0,1.0,9,25.30018424987793,1176450000,6
Agc,1725970920999,15505000000,,,-1410006123494724385,0.0,4.373018890825298,-110.0,1.0,9,63.367698669433594,1561096000,5
Agc,1725970920999,15505000000,,,-1410006123494724385,0.0,4.373018890825298,-110.0,1.0,9,37.42583465576172,1575420000,5
Agc,1725970920999,15505000000,,,-1410006123494724385,0.0,4.373018890825298,-110.0,1.0,9,25.30018424987793,1176450000,5
Agc,1725970921999,16505000000,,,-1410006123494724499,0.0,4.449421720490802,,,9,37.657474517822266,1575420000,1
Agc,1725970921999,16505000000,,,-1410006123494724499,0.0,4.449421720490802,,,9,27.430871963500977,1176450000,1
Agc,1725970921999,16505000000,,,-1410006123494724499,0.0,4.449421720490802,,,9,59.06133270263672,1602000000,3
Agc,1725970921999,16505000000,,,-1410006123494724499,0.0,4.449421720490802,,,9,37.657474517822266,1575420000,6
Agc,1725970921999,16505000000,,,-1410006123494724499,0.0,4.449421720490802,,,9,27.430871963500977,1176450000,6
Agc,1725970921999,16505000000,,,-1410006123494724499,0.0,4.449421720490802,,,9,62.09431457519531,1561096000,5
Agc,1725970921999,16505000000,,,-1410006123494724499,0.0,4.449421720490802,,,9,37.657474517822266,1575420000,5
Agc,1725970921999,16505000000,,,-1410006123494724499,0.0,4.449421720490802,,,9,27.430871963500977,1176450000,5
Agc,1725970922999,17505000000,,,-1410006123494724612,0.0,4.441805733290863,,,9,38.83158493041992,1575420000,1
Agc,1725970922999,17505000000,,,-1410006123494724612,0.0,4.441805733290863,,,9,26.240116119384766,1176450000,1
Agc,1725970922999,17505000000,,,-1410006123494724612,0.0,4.441805733290863,,,9,59.19001770019531,1602000000,3
Agc,1725970922999,17505000000,,,-1410006123494724612,0.0,4.441805733290863,,,9,38.83158493041992,1575420000,6
Agc,1725970922999,17505000000,,,-1410006123494724612,0.0,4.441805733290863,,,9,26.240116119384766,1176450000,6
Agc,1725970922999,17505000000,,,-1410006123494724612,0.0,4.441805733290863,,,9,60.15611267089844,1561096000,5
Agc,1725970922999,17505000000,,,-1410006123494724612,0.0,4.441805733290863,,,9,38.83158493041992,1575420000,5
Agc,1725970922999,17505000000,,,-1410006123494724612,0.0,4.441805733290863,,,9,26.240116119384766,1176450000,5
Agc,1725970923999,18505000000,,,-1410006123494724725,0.0,4.408590915204355,,,9,37.42583465576172,1575420000,1
Agc,1725970923999,18505000000,,,-1410006123494724725,0.0,4.408590915204355,,,9,29.090354919433594,1176450000,1
Agc,1725970923999,18505000000,,,-1410006123494724725,0.0,4.408590915204355,,,9,59.924476623535156,1602000000,3
Agc,1725970923999,18505000000,,,-1410006123494724725,0.0,4.408590915204355,,,9,37.42583465576172,1575420000,6
Agc,1725970923999,18505000000,,,-1410006123494724725,0.0,4.408590915204355,,,9,29.090354919433594,1176450000,6
Agc,1725970923999,18505000000,,,-1410006123494724725,0.0,4.408590915204355,,,9,61.12821960449219,1561096000,5
Agc,1725970923999,18505000000,,,-1410006123494724725,0.0,4.408590915204355,,,9,37.42583465576172,1575420000,5
Agc,1725970923999,18505000000,,,-1410006123494724725,0.0,4.408590915204355,,,9,29.090354919433594,1176450000,5
Agc,1725970924999,19505000000,,,-1410006123494724837,0.0,4.396103447861023,,,9,38.210899353027344,1575420000,1
Agc,1725970924999,19505000000,,,-1410006123494724837,0.0,4.396103447861023,,,9,26.240116119384766,1176450000,1
Agc,1725970924999,19505000000,,,-1410006123494724837,0.0,4.396103447861023,,,9,57.73319625854492,1602000000,3
Agc,1725970924999,19505000000,,,-1410006123494724837,0.0,4.396103447861023,,,9,38.210899353027344,1575420000,6
Agc,1725970924999,19505000000,,,-1410006123494724837,0.0,4.396103447861023,,,9,26.240116119384766,1176450000,6
Agc,1725970924999,19505000000,,,-1410006123494724837,0.0,4.396103447861023,,,9,62.09431457519531,1561096000,5
Agc,1725970924999,19505000000,,,-1410006123494724837,0.0,4.396103447861023,,,9,38.210899353027344,1575420000,5
Agc,1725970924999,19505000000,,,-1410006123494724837,0.0,4.396103447861023,,,9,26.240116119384766,1176450000,5
Agc,1725970925999,20505000000,,,-1410006123494724950,0.0,4.386347365474426,,,9,40.70967483520508,1575420000,1
Agc,1725970925999,20505000000,,,-1410006123494724950,0.0,4.386347365474426,,,9,29.240116119384766,1176450000,1
Agc,1725970925999,20505000000,,,-1410006123494724950,0.0,4.386347365474426,,,9,62.09431457519531,1602000000,3
Agc,1725970925999,20505000000,,,-1410006123494724950,0.0,4.386347365474426,,,9,40.70967483520508,1575420000,6
Agc,1725970925999,20505000000,,,-1410006123494724950,0.0,4.386347365474426,,,9,29.240116119384766,1176450000,6
Agc,1725970925999,20505000000,,,-1410006123494724950,0.0,4.386347365474426,,,9,62.09431457519531,1561096000,5
Agc,1725970925999,20505000000,,,-1410006123494724950,0.0,4.386347365474426,,,9,40.70967483520508,1575420000,5
Agc,1725970925999,20505000000,,,-1410006123494724950,0.0,4.386347365474426,,,9,29.240116119384766,1176450000,5
Agc,1725970926999,21505000000,,,-1410006123494725061,0.0,5.2975336492315375,,,9,37.993743896484375,1575420000,1
Agc,1725970926999,21505000000,,,-1410006123494725061,0.0,5.2975336492315375,,,9,26.460023880004883,1176450000,1
Agc,1725970926999,21505000000,,,-1410006123494725061,0.0,5.2975336492315375,,,9,58.10286331176758,1602000000,3
Agc,1725970926999,21505000000,,,-1410006123494725061,0.0,5.2975336492315375,,,9,37.993743896484375,1575420000,6
Agc,1725970926999,21505000000,,,-1410006123494725061,0.0,5.2975336492315375,,,9,26.460023880004883,1176450000,6
Agc,1725970926999,21505000000,,,-1410006123494725061,0.0,5.2975336492315375,,,9,61.52764129638672,1561096000,5
Agc,1725970926999,21505000000,,,-1410006123494725061,0.0,5.2975336492315375,,,9,37.993743896484375,1575420000,5
Agc,1725970926999,21505000000,,,-1410006123494725061,0.0,5.2975336492315375,,,9,26.460023880004883,1176450000,5
Agc,1725970927999,22505000000,,,-1410006123494725173,0.0,5.368162754982087,,,9,41.83930206298828,1575420000,1
Agc,1725970927999,22505000000,,,-1410006123494725173,0.0,5.368162754982087,,,9,27.057228088378906,1176450000,1
Agc,1725970927999,22505000000,,,-1410006123494725173,0.0,5.368162754982087,,,9,60.381736755371094,1602000000,3
Agc,1725970927999,22505000000,,,-1410006123494725173,0.0,5.368162754982087,,,9,41.83930206298828,1575420000,6
Agc,1725970927999,22505000000,,,-1410006123494725173,0.0,5.368162754982087,,,9,27.057228088378906,1176450000,6
Agc,1725970927999,22505000000,,,-1410006123494725173,0.0,5.368162754982087,,,9,62.62626647949219,1561096000,5
Agc,1725970927999,22505000000,,,-1410006123494725173,0.0,5.368162754982087,,,9,41.83930206298828,1575420000,5
Agc,1725970927999,22505000000,,,-1410006123494725173,0.0,5.368162754982087,,,9,27.057228088378906,1176450000,5
Agc,1725970928999,23505000000,,,-1410006123494725285,0.0,5.216243831486503,,,9,37.883094787597656,1575420000,1
Agc,1725970928999,23505000000,,,-1410006123494725285,0.0,5.216243831486503,,,9,26.464778900146484,1176450000,1
Agc,1725970928999,23505000000,,,-1410006123494725285,0.0,5.216243831486503,,,9,61.33022689819336,1602000000,3
Agc,1725970928999,23505000000,,,-1410006123494725285,0.0,5.216243831486503,,,9,37.883094787597656,1575420000,6
